base_torque,imu_pitch,imu_roll,offset_front,offset_rear,omega_body,omega_rel,theta_body,theta_front,theta_rear,theta_rel,timestamp,type,u_front,u_rear
,0.009987323255296878,0.003912661815713356,,,-0.0211496365339846,-11.511468561312013,-0.0013840782400679165,-2.3145579497203923,-2.3074836617380132,-2.3110208057292025,1.7074763774871826,state,,
0.4999995326442335,,,0.058911690710518605,0.058911690710518605,,,,,,,1.707484483718872,control,0.24999976632211454,0.24999976632211898
,-0.0018719081928884806,2.1480283823973795e-05,,,-0.023419449869279182,-5.331283987069933,-0.0015221793774319611,-2.2428484243211093,-2.235784642165814,-2.2393165332434615,1.7125959396362305,state,,
0.4999995326442335,,,0.08773345689630824,0.08773345689630824,,,,,,,1.7126052379608154,control,0.24999976632211454,0.24999976632211898
,-0.005296663128459145,-0.0013446481229118167,,,-0.02207518825929195,-0.18955462374739973,-0.0016453690254052437,-2.1576285520573752,-2.1592337318243167,-2.158431141940846,1.7178990840911865,state,,
0.4999995326442335,,,0.11597878775838207,0.11597878775838207,,,,,,,1.7179086208343506,control,0.24999976632211676,0.24999976632211676
,0.006954386288407951,-0.002832779201613011,,,-0.023617469480830718,5.29493057184948,-0.00175530938910438,-2.047414143797847,-2.0419222485266375,-2.044668196162242,1.722928524017334,state,,
0.4999995326442335,,,0.1436592120032144,0.1436592120032144,,,,,,,1.7229368686676025,control,0.24999976632211676,0.24999976632211676
,-0.003112066271341607,-0.0021523619439007013,,,-0.020762154096609742,10.856553104956461,-0.001842606476084631,-1.893380682277513,-1.9103582354463577,-1.9018694588619354,1.7280213832855225,state,,
0.4999995326442335,,,0.1707860277631501,0.1707860277631501,,,,,,,1.7280302047729492,control,0.24999976632211676,0.24999976632211676
,-0.006423822629023649,-0.0026744137714705928,,,-0.019235662829125793,16.839174952075997,-0.0019756970966677352,-1.7237176818267956,-1.7211967184525871,-1.7224572001396914,1.7330949306488037,state,,
