base_torque,imu_pitch,imu_roll,offset_front,offset_rear,omega_body,omega_rel,theta_body,theta_front,theta_rear,theta_rel,timestamp,type,u_front,u_rear
,0.004210757937599631,0.007357346129260131,,,0.0029884863552918106,0.2031015611352461,0.00023953867599889585,0.008466261512485024,0.002060693191090937,0.005263477351787981,3.7166426181793213,state,,
0.20744592539119044,,,0.03457432089853174,0.03457432089853174,,,,,,,3.7166550159454346,control,0.10372296269559522,0.10372296269559522
,0.009893326878761339,0.0009368628941740356,,,-0.004162911134842262,1.4131564508131063,0.00016903292659933259,0.036446969457215865,0.04086035768357212,0.038653663570393994,3.7267746925354004,state,,
0.15644144359619164,,,0.05995640841325971,0.05995640841325971,,,,,,,3.726785659790039,control,0.07822072179809582,0.07822072179809582
,0.011376787856087043,-0.004892333636789726,,,-0.01040030427817458,3.016052688272422,-4.415985685390337e-05,0.09744018283039263,0.0912099699668539,0.09432507639862327,3.737086296081543,state,,
-0.047855524051649174,,,0.05078135956971965,0.05078135956971965,,,,,,,3.7371013164520264,control,-0.023927762025824587,-0.023927762025824587
,-0.007150953253643301,0.0016508151772175394,,,-0.006715192257956519,3.7884892250236146,-7.832892673095982e-05,0.13374590456222912,0.15526145134523706,0.1445036779537331,3.747272253036499,state,,
-0.3405467824582908,,,-0.006992064698056535,-0.006992064698056535,,,,,,,3.7472898960113525,control,-0.1702733912291454,-0.1702733912291454
,-0.0074652373111482855,0.007324151717091665,,,0.0003236751607502619,1.9596100442359217,0.00011249219831546441,0.13459767682056387,0.13538684758357722,0.13499226220207056,3.757096767425537,state,,
-0.49999856958590494,,,-0.0668522234040954,-0.0668522234040954,,,,,,,3.757143497467041,control,-0.2499992847929526,-0.24999928479295233
,0.0032625892857778335,-0.003358938616820209,,,-0.0028892184432084216,-1.2119857765877662,-1.0583775509267497e-05,0.08101220068433468,0.06377757771331369,0.07239488919882418,3.7672348022460938,state,,
-0.49999856958590494,,,-0.1255151789360135,-0.1255151789360135,,,,,,,3.767245292663574,control,-0.24999928479295247,-0.24999928479295247
,0.0014457079048287977,-0.004534915192158473,,,-0.003821780259751279,-5.535989111751442,-0.00014010337310874766,-0.04883724431684081,-0.05473006046796772,-0.05178365239240426,3.7774817943573,state,,
-0.49999856958590494,,,-0.1830048753572932,-0.1830048753572932,,,,,,,3.7774953842163086,control,-0.2499992847929525,-0.24999928479295244
,-0.0017264970856497158,-0.0018131038088641585,,,-0.00231939891013098,-10.931252553766553,-0.00018735076251922986,-0.24730360264889142,-0.24662532242718793,-0.24696446253803966,3.7874555587768555,state,,
-0.49999856958590494,,,-0.23934477785014735,-0.23934477785014735,,,,,,,3.7874643802642822,control,-0.2499992847929526,-0.24999928479295233
,-0.004513097336968429,0.005896708044196941,,,0.00029432197219428596,-15.803183643005264,-6.823570695429137e-05,-0.47717353133734336,-0.4878974496499258,-0.4825354904936346,3.7977213859558105,state,,
-0.49999856958590494,,,-0.2945578822931444,-0.2945578822931444,,,,,,,3.7977311611175537,control,-0.24999928479295247,-0.24999928479295247
,-0.00084904656396624,-0.0032223916366719454,,,-5.456820332241848e-05,-21.073527635306434,-0.00014325201127881102,-0.780180310083187,-0.7741214832440916,-0.7771508966636393,3.8081917762756348,state,,
-0.046118724376658385,,,-0.29635317871005773,-0.29635317871005806,,,,,,,3.8082549571990967,control,-0.023059362188328637,-0.023059362188329748
,0.010934123977596006,0.000204572203699047,,,-0.006531787423721159,-24.290696670675324,-0.00022466910172828247,-1.0709672253381253,-1.0715541723508888,-1.071260698844507,3.8187413215637207,state,,
0.5,,,-0.2304261151358566,-0.23042611513585692,,,,,,,3.8187522888183594,control,0.25,0.25
,0.0031679394229969307,-4.9226379568964387e-05,,,-0.012186579165697032,-24.02780707640901,-0.00040944594844796695,-1.3083691451406563,-1.3063403583935564,-1.3073547517671065,3.8291215896606445,state,,
0.5,,,-0.16581759283313946,-0.1658175928331398,,,,,,,3.829132556915283,control,0.2500000000000011,0.2499999999999989
,-0.0068297717449346505,0.0019658954889344494,,,-0.011431297533658707,-20.47154362733549,-0.0005199876622288343,-1.4725590385541332,-1.4383819561553728,-1.455470497354753,3.8397774696350098,state,,
0.5,,,-0.10250124097647667,-0.102501240976477,,,,,,,3.8397889137268066,control,0.25,0.25
,-0.004595794197098687,-0.006682555916912374,,,-0.015249605107890056,-16.911524736815416,-0.0008810772124894473,-1.568750163107379,-1.5671024055530764,-1.5679262843302277,3.8499879837036133,state,,
0.5,,,-0.040451216156947134,-0.04045121615694747,,,,,,,3.8499979972839355,control,0.25,0.25
,-0.00270110076541653,0.0013506887852772632,,,-0.01813507216574116,-11.863021473087686,-0.0010854258246758204,-1.6078942906268772,-1.6045198575677653,-1.606207074097321,3.8601784706115723,state,,
0.5,,,0.02035780816619181,0.020357808166191482,,,,,,,3.86018967628479,control,0.2499999999999989,0.2500000000000011
,-0.006960880742530757,0.0005397247993352784,,,-0.01708779663472977,-6.448590762966445,-0.00126078452746615,-1.5822509444557042,-1.5867883366893956,-1.58451964057255,3.8705904483795166,state,,
0.5,,,0.07995065200286797,0.07995065200286765,,,,,,,3.8706037998199463,control,0.25,0.25
,0.0004037454959401858,-0.007029567437577374,,,-0.02383414999840721,-1.001637764923823,-0.0017061641441330649,-1.5078562405029359,-1.5078338970551,-1.507845068779018,3.8805556297302246,state,,
0.5,,,0.1383516389628106,0.13835163896281027,,,,,,,3.8805665969848633,control,0.25,0.25
,-0.0017192849084461392,-0.0005270553373696471,,,-0.017827964226616404,4.567409970293466,-0.0017798926987568579,-1.3602308205963067,-1.3868428224809486,-1.3735368215386277,3.8905434608459473,state,,
0.5,,,0.1955846061835544,0.19558460618355406,,,,,,,3.890551805496216,control,0.25,0.25
,0.003201172224546425,0.0012460359694438487,,,-0.015954102550117887,10.554576716433065,-0.0018287617418327718,-1.1721666674788718,-1.173238004717015,-1.1727023360979434,3.9004907608032227,state,,
0.5,,,0.2516729140598833,0.25167291405988296,,,,,,,3.900496244430542,control,0.25,0.25
,0.0017308397223648581,-0.0004502297548492592,,,-0.011654285089488922,15.987920142519329,-0.001839097332545951,-0.921193335286893,-0.9315042413031106,-0.9263487882950018,3.9104437828063965,state,,
0.5,,,0.3066394557786856,0.3066394557786853,,,,,,,3.910447120666504,control,0.25,0.25
,0.007019365277263853,0.0008312048514685578,,,-0.007819335123571696,21.976074511250978,-0.0017558165009139632,-0.6187527577087769,-0.6038144551000131,-0.6112836064043949,3.9204578399658203,state,,
0.5,,,0.3605066666631119,0.3605066666631116,,,,,,,3.9204604625701904,control,0.24999999999999944,0.25000000000000056
,0.009440626878023198,-0.003248725896333794,,,-0.0022900834318009024,27.119118796397423,-0.0016513660151733927,-0.265496285820606,-0.2509803669559194,-0.2582383263882627,3.930539608001709,state,,
0.5,,,0.4132965333298496,0.41329653332984934,,,,,,,3.9305419921875,control,0.25,0.25
,-0.002667142989175286,0.0016607113413235183,,,0.0018398911710453543,32.650210474905414,-0.001529123866846378,0.15762090493603165,0.15496676805135026,0.15629383649369094,3.940626621246338,state,,
0.5,,,0.46503060266325263,0.46503060266325236,,,,,,,3.94062876701355,control,0.2500000000000001,0.24999999999999986
,0.00010929824089361308,0.002042379529070004,,,-0.0009897930890711865,38.15238131582071,-0.001517898261996528,0.6310788845974173,0.6196959521199308,0.6253874183586741,3.950731039047241,state,,
0.5,,,0.5157299906099876,0.5157299906099873,,,,,,,3.9507334232330322,control,0.25,0.25
,0.0025618676819553726,0.0020829497340030664,,,-0.0011188396979501772,43.49644168088588,-0.0014470688842417015,1.1422266915976993,1.1485837033936868,1.145405197495693,3.9608991146087646,state,,
0.5,,,0.5654153907977879,0.5654153907977875,,,,,,,3.9609014987945557,control,0.2500000000000011,0.2499999999999989
,-0.003964391892959552,-0.00838711332584788,,,0.009354665181194205,48.41537544930806,-0.0013525458245284522,1.7146293608411203,1.7010630679336336,1.707846214387377,3.971184015274048,state,,
0.5,,,0.614107082981832,0.6141070829818318,,,,,,,3.9711878299713135,control,0.25,0.25
,-0.005206254866166641,-0.0016552967345022165,,,0.012587446049964828,53.30863833344484,-0.0012253845119849888,2.3093141351076345,2.3283084555077105,2.3188112953076727,3.9813599586486816,state,,
-0.4999992858459613,,,0.5418249413221954,0.5418249413221952,,,,,,,3.9813742637634277,control,-0.24999964292298288,-0.24999964292297844
,0.0010860270397728246,-1.1071304630198135e-05,,,0.018222142738601302,53.79051625627602,-0.0009308128777516843,2.8674833463536715,2.861288220064282,2.8643857832089767,3.99192476272583,state,,
-0.4999992858459613,,,0.4709884424957515,0.4709884424957513,,,,,,,3.9919273853302,control,-0.24999964292298066,-0.24999964292298066
,-0.0024686471855502076,-0.00012234345424084442,,,0.025429699898258377,51.43576460441709,-0.0005754361504406305,3.3297589110595505,3.3527738744173137,3.341266392738432,4.002283811569214,state,,
-0.4999992858459613,,,0.4015686736458365,0.40156867364583626,,,,,,,4.002287149429321,control,-0.24999964292298066,-0.24999964292298066
,0.004778344031624227,-0.010924654856541894,,,0.03666465625438516,46.61377097623718,-0.00020101288487419066,3.732136492495022,3.729182888210094,3.7306596903525584,4.012497663497925,state,,
-0.4999992858459613,,,0.33353730017291977,0.33353730017291955,,,,,,,4.012501955032349,control,-0.24999964292298288,-0.24999964292297844
,-0.0038260721548135685,0.005181511671450566,,,0.03491125789866544,41.42340212949776,0.0001813288527756624,4.050085121399304,4.074487730210016,4.06228642580466,4.022972106933594,state,,
-0.4999992858459613,,,0.26686655416946137,0.26686655416946115,,,,,,,4.022977590560913,control,-0.24999964292298066,-0.24999964292298066
,-0.002383241308336961,-0.0027484332602938292,,,0.04381526024486801,36.42602924539361,0.0006729701207792389,4.351190053857094,4.342832063264384,4.347011058560739,4.03352427482605,state,,
-0.4999992858459613,,,0.20152922308607213,0.2015292230860719,,,,,,,4.0335307121276855,control,-0.24999964292297622,-0.2499996429229851
,-0.00919852204645298,-0.008490535276791996,,,0.04402616493724488,29.5361953599946,0.0008640067900566032,4.532209107082175,4.533226693250536,4.532717900166356,4.044281005859375,state,,
-0.4999992858459613,,,0.1374986386243507,0.13749863862435047,,,,,,,4.044293403625488,control,-0.24999964292298066,-0.24999964292298066
,-0.01112687247860591,0.001732898139092676,,,0.043350906973803185,23.50000968817767,0.0012063045206595368,4.668385289256326,4.67491294742191,4.6716491183391184,4.054471731185913,state,,
-0.4999992858459613,,,0.07474866585186368,0.07474866585186346,,,,,,,4.054480791091919,control,-0.2499996429229851,-0.24999964292297622
,-0.009710065567857945,-0.002779243751981958,,,0.035021302514090205,17.757152086365437,0.0012674753251056157,4.753783775758126,4.761856667687162,4.757820221722644,4.064645290374756,state,,
-0.4999992858459613,,,0.013253692534826417,0.013253692534826195,,,,,,,4.064654588699341,control,-0.2499996429229851,-0.24999964292297622
,-0.003101553666010522,0.005776164094120267,,,0.04252884127973332,11.520878284734078,0.0018559681664063914,4.770411665704825,4.777139583034322,4.7737756243695735,4.074886083602905,state,,
-0.4999992858459613,,,-0.04701138131587011,-0.04701138131587033,,,,,,,4.0748984813690186,control,-0.24999964292298066,-0.24999964292298066
,0.0010157144998822543,-0.00460938568700616,,,0.041372581229435317,4.65187203658611,0.0021239564167533334,4.707191628738739,4.714749801027757,4.710970714883248,4.085461854934692,state,,
-0.4999992858459613,,,-0.10607115368955271,-0.10607115368955292,,,,,,,4.085473299026489,control,-0.24999964292298066,-0.24999964292298066
,0.0023072967395655498,0.0028114441377728263,,,0.04580167486662064,-1.151819656772251,0.002664500793687073,4.610340184861802,4.603827607533379,4.60708389619759,4.095999479293823,state,,
-0.4999992858459613,,,-0.16394973061576165,-0.16394973061576185,,,,,,,4.096011400222778,control,-0.24999964292297622,-0.2499996429229851
,0.00021381641359175592,-0.0015983846981406555,,,0.04706582114141815,-7.0093701887326985,0.0030598202016921495,4.443560191576188,4.443968572729925,4.443764382153057,4.106250762939453,state,,
-0.4999992858459613,,,-0.22067073600344642,-0.2206707360034466,,,,,,,4.10626482963562,control,-0.24999964292298066,-0.24999964292298066
,0.0008182055861795465,-0.00037589974261291605,,,0.045075367498789445,-12.42766300749706,0.0034041544464992455,4.242909742973367,4.223596144137671,4.233252943555519,4.116719961166382,state,,
-0.4999992858459613,,,-0.2762573212833775,-0.27625732128337765,,,,,,,4.1167309284210205,control,-0.24999964292298066,-0.24999964292298066
