base_torque,imu_pitch,imu_roll,offset_front,offset_rear,omega_body,omega_rel,theta_body,theta_front,theta_rear,theta_rel,timestamp,type,u_front,u_rear
,-0.0011063215959955168,0.002888921477638116,,,-0.0031381450605170386,0.021229653053525248,-5.496282920591713e-05,-0.0014622445776566746,0.0023503019529108257,0.00044402868762707557,1.6120834350585938,state,,
-0.11571496447515016,,,-0.019285827412525026,-0.019285827412525026,,,,,,,1.6120986938476562,control,-0.05785748223757508,-0.05785748223757508
,0.00796209582704866,0.0009049509794779323,,,-0.008722381471124533,-1.0870524164107485,-0.0001438241917973732,-0.019536157362374903,-0.025724023365549326,-0.022630090363962116,1.6169171333312988,state,,
-0.5,,,-0.048900110864274524,-0.048900110864274524,,,,,,,1.616929531097412,control,-0.24999999999999997,-0.25
,0.001585253893989264,-0.013546764448031974,,,-0.005477815208858521,-2.4883166239517633,-0.0003930331000542026,-0.05675234112976106,-0.05799463087926082,-0.05737348600451094,1.621873378753662,state,,
-0.5,,,-0.07792210864698904,-0.07792210864698904,,,,,,,1.621882677078247,control,-0.25,-0.25
,-0.0013828904591103714,-0.003013391323461425,,,-0.0016665426066825141,-5.969786644429347,-0.000436190565423036,-0.13914849416757388,-0.14611497688279146,-0.14263173552518266,1.627274751663208,state,,
-0.5,,,-0.10636366647404925,-0.10636366647404925,,,,,,,1.6272876262664795,control,-0.2500000000000001,-0.24999999999999986
,-0.00042116187758472193,0.0015553874822769357,,,-0.0031778747916745608,-10.120144076935981,-0.0004769244245611762,-0.2721385547765648,-0.24643633723948397,-0.2592874460080244,1.632413387298584,state,,
-0.5,,,-0.13423639314456826,-0.13423639314456826,,,,,,,1.6324455738067627,control,-0.24999999999999986,-0.2500000000000001
,-0.0015657663837873356,-0.0007359924505262686,,,-0.0061759285805270394,-13.908032025738294,-0.0006057745071087399,-0.3864253981173283,-0.3918020323421252,-0.3891137152297267,1.6377708911895752,state,,
-0.5,,,-0.1615516652816769,-0.1615516652816769,,,,,,,1.6377854347229004,control,-0.2500000000000003,-0.24999999999999972
,-0.0056532992106857255,-0.007527187688467551,,,-0.00639854339649731,-18.976990894741355,-0.0008463201283463823,-0.5641987216764243,-0.5651485897967109,-0.5646736557365676,1.6427497863769531,state,,
-0.5,,,-0.18832063197604335,-0.18832063197604335,,,,,,,1.6427624225616455,control,-0.25,-0.25
,0.004452324706596872,-0.003569845058236108,,,-0.005222569228774092,-22.343562391225444,-0.0009059298155940514,-0.7302980036853054,-0.7296462306876286,-0.729972117186467,1.6480443477630615,state,,
-0.5,,,-0.21455421933652247,-0.21455421933652247,,,,,,,1.6480584144592285,control,-0.24999999999999944,-0.25000000000000056
,0.0006726650002645654,0.0022319688295226532,,,-0.0042135778123353436,-27.11602919682653,-0.0008823453402251562,-0.9477248722231827,-0.9352919906886968,-0.9415084314559398,1.655681848526001,state,,
-0.5,,,-0.240263134949792,-0.240263134949792,,,,,,,1.6556968688964844,control,-0.25,-0.25
,0.007025166276377871,0.013655807651824822,,,-0.0007334514538167749,-32.232411456774585,-0.0005443166315328711,-1.1837344594896577,-1.184466023473651,-1.1841002414816544,1.6582355499267578,state,,
-0.26433404964453866,,,-0.2654578722507962,-0.2654578722507962,,,,,,,1.658247709274292,control,-0.13216702482226933,-0.13216702482226933
,0.0018654706649911454,-0.004869161940498573,,,-0.0018278632826371018,-37.347812642325806,-0.0006720863369081527,-1.4615548096439335,-1.442952076658357,-1.4522534431511454,1.6633672714233398,state,,
0.49999850180134814,,,-0.23014871480578028,-0.23014871480578028,,,,,,,1.663379430770874,control,0.24999925090067518,0.24999925090067296
,-0.009294305937477772,0.007759003401973842,,,-0.005175956941187888,-39.55721675061346,-0.0006972509944563288,-1.6820139831622305,-1.6883925876704988,-1.6852032854163648,1.6684565544128418,state,,
0.49999850180134814,,,-0.19554574050966467,-0.19554574050966467,,,,,,,1.668468713760376,control,0.24999925090067518,0.24999925090067296
,-0.00882870243109519,0.0010980683312964343,,,-0.007681152482656103,-39.645627056245885,-0.0008412730226543118,-1.8803724652028944,-1.8893045636246273,-1.8848385144137607,1.6736414432525635,state,,
0.49999850180134814,,,-0.16163482569947138,-0.16163482569947138,,,,,,,1.6736559867858887,control,0.24999925090067296,0.24999925090067518
